Date,FTSE.100,UK.2yr.swap.rate,UK.YoY.CPI,UK.MoM.CPI,UK.Manufacturing.PMI,UK.Service.PMI,MPMIGBCA.Index,Monthly Unemployment Rate
01/2020,7557.31913,0.501422609,1.32173913,-0.013043478,47.60869565,50.16956522,53.3,3.9
02/2020,7313.449,0.509057,1.8,-0.3,50,53.9,53,4
03/2020,5741.89,0.195266818,1.690909091,0.381818182,51.52272727,52.35,36,4
04/2020,5739.648636,0.116426364,1.468181818,-0.009090909,47.10909091,33.54090909,13.8,4.1
05/2020,5957.096667,0.023449048,0.8,-0.2,32.6,13.4,30,4.1
06/2020,6244.628182,0.003607273,0.504545455,0.004545455,41.12727273,29.82272727,47.7,4.1
07/2020,6167.356087,-0.042427391,0.617391304,0.113043478,50.23913043,47.50869565,57,4.3
08/2020,6068.530476,-0.030219524,0.961904762,0.361904762,53.39047619,56.60952381,59.1,4.6
09/2020,5933.005455,-0.066210909,0.213636364,-0.363636364,55.15,58.67727273,56.5,4.9
10/2020,5851.488636,-0.047351818,0.5,0.4,54.1,56.1,52.1,5.1
11/2020,6222.534762,-0.01862381,0.680952381,-0.004761905,53.79047619,51.21904762,49,5.1
12/2020,6517.412174,-0.027855652,0.313043478,-0.082608696,55.6826087,47.67826087,50.4,5.2
01/2021,6687.182381,-0.052010476,0.6,0.3,57.5,49.4,41.2,5.1
02/2021,6583.574,0.0330215,0.7,-0.2,54.1,39.5,49.6,5.1
03/2021,6713.588696,0.101455217,0.413043478,0.108695652,55.26521739,49.79565217,56.4,4.9
04/2021,6906.184091,0.112618182,0.736363636,0.313636364,58.99090909,56.51363636,60.7,4.9
05/2021,7021.415714,0.1343,1.528571429,0.6,61.12380952,61.09047619,62.9,4.9
06/2021,7097.400455,0.175068182,2.118181818,0.595454545,65.52272727,62.87727273,62.2,4.7
07/2021,7047.625455,0.20853,2.5,0.5,63.9,62.4,59.2,4.6
08/2021,7138.949545,0.25955,2.054545455,0.031818182,60.39545455,59.39090909,54.8,4.4
09/2021,7065.084091,0.353811364,3.195454545,0.681818182,60.15454545,55.01818182,54.9,4.3
10/2021,7163.111429,0.777766667,3.1,0.3,57.1,55.4,57.8,4.2
11/2021,7264.759091,0.897417273,4.240909091,1.081818182,57.81363636,59.07272727,57.6,4.1
12/2021,7288.209565,0.89843087,5.113043478,0.691304348,58.09130435,58.28695652,53.6,4
01/2022,7495.431905,1.131219048,5.404761905,0.471428571,57.87142857,53.62380952,54.2,4
02/2022,7535.4245,1.6548995,5.535,-0.055,57.335,54.42,59.9,3.8
03/2022,7314.826087,1.879482609,6.234782609,0.813043478,57.87826087,60.59130435,60.9,3.7
04/2022,7560.510952,2.15536381,7,1.1,55.2,62.6,58.2,3.8
05/2022,7451.913182,2.184540909,9.004545455,2.418181818,55.74545455,58.65,53.1,3.8
06/2022,7298.923182,2.772934091,9.113636364,0.704545455,54.51818182,53.44090909,53.7,3.8
07/2022,7225.795238,2.642111429,9.4,0.8,52.8,54.3,52.1,3.8
08/2022,7466.398696,3.19657913,10.09130435,0.595652174,51.89130435,52.52608696,49.6,3.5