Date,UST.10.2.Spread,US.Federal.Funds.Effective.Rate..continuous.series.,M1.Index,US.Condition.of.All.Federal.Reserve.Banks.Total.Assets..,CDX.IG.CDSI.GEN.5Y.Corp,CBOE.Equity.Put.Call.Ratio,SPX,NASDAQ,VIX,Brent,US.CPI.MoM,US.CPI.YoY,US.ISM.Manufacturing.PMI,US.Service.PMI,MPMIUSCA.Index,Monthly Unemployment Rate
01/2020,0.244504348,1.55173913,4006.513043,4159980.435,45.75586957,0.536956522,3278.376522,9228.786957,13.85391304,56.03434783,0.2,2.308695652,48.05217391,55.71304348,53.3,3.5
02/2020,0.168795,1.5835,3993.6,4169200.05,48.8985,0.583,3282.4565,9434.466,19.3315,55.179,0.2,2.5,51.4,56,49.6,3.5
03/2020,0.4218,0.625454545,4005.795455,4577127.909,108.3583182,0.826363636,2652.393636,7772.205909,57.73681818,47.18863636,0.081818182,2.263636364,50.24545455,56.71363636,40.9,4.4
04/2020,0.430836364,0.048636364,4285.440909,6249577.864,97.08068182,0.652727273,2763.240909,8286.096818,41.46363636,43.10818182,-0.322727273,1.445454545,48.75909091,52.28636364,27,14.7
05/2020,0.501161905,0.05,4779.8,6891631.429,88.74442857,0.575238095,2921.321429,9116.081429,30.76666667,43.14,-0.8,0.3,41.6,41.5,37,13.2
06/2020,0.539004545,0.076818182,5315.422727,7125016.227,74.82586364,0.510909091,3104.660909,9839.970909,31.11954545,46.27772727,-0.072727273,0.122727273,43.90454545,45.72727273,47.9,11
07/2020,0.470008696,0.093478261,16572.2087,6961420.478,71.98147826,0.469565217,3204.244783,10487.15696,26.87695652,48.02913043,0.5,0.617391304,52.46521739,56.80869565,50.3,10.2
08/2020,0.506666667,0.094761905,16770.52381,6972642.429,66.39928571,0.442857143,3391.71,11212.29048,22.88952381,49.99714286,0.495238095,1.014285714,53.97142857,57.01904762,54.6,8.4
09/2020,0.540486364,0.09,16916.65909,7044329.864,63.60813636,0.541818182,3368.309545,11098.88182,27.78863636,48.04772727,0.390909091,1.304545455,55.4,57.41363636,54.3,7.9
10/2020,0.629927273,0.09,17161.5,7121824.273,57.96195455,0.496363636,3418.701364,11435.23409,29.43863636,46.23590909,0.2,1.4,55.4,57.7,56.3,6.9
11/2020,0.701966667,0.086666667,17182.59429,7188034.381,54.0957619,0.44952381,3552.833333,11808.74429,24.81714286,46.6647619,0.1,1.2,58.72857143,56.11904762,58.6,6.7
12/2020,0.79436087,0.09,17614.47652,7308769.435,52.379,0.43173913,3695.646957,12627.12391,22.3373913,48.96173913,0.108695652,1.208695652,57.43913043,56.55652174,55.3,6.7
01/2021,0.930361905,0.085714286,17834.4,7367782.19,51.75309524,0.417619048,3790.74,13163.44286,24.78,51.2652381,0.3,1.4,60.5,57.8,58.7,6.4
02/2021,1.129145,0.076,17834.4,7481565.5,51.93895,0.4275,3886.002,13755.308,22.982,55.356,0.2,1.4,59.4,58.5,59.5,6.2
03/2021,1.459726087,0.069565217,17869.48261,7635738.043,54.49986957,0.470434783,3910.508261,13168.8113,21.84304348,58.74608696,0.408695652,1.739130435,61.02173913,56.17391304,59.7,6
04/2021,1.458859091,0.068636364,18654.30455,7759704.909,51.09940909,0.463636364,4135.662273,13881.33227,17.41227273,59.81136364,0.6,2.672727273,63.55909091,62.22272727,63.5,6
05/2021,1.46082381,0.059047619,18927.4,7856964.19,51.59857143,0.516190476,4169.57619,13531.11048,19.61761905,62.81857143,0.604761905,4.238095238,60.64761905,62.72380952,68.7,5.8
06/2021,1.311722727,0.077272727,18945.22727,8011511.136,49.20777273,0.432272727,4238.489545,14097.16909,16.95681818,66.15727273,0.709090909,5.018181818,61.56818182,63.08636364,63.7,5.9
07/2021,1.096972727,0.098636364,19319.6,8167198.409,48.81704545,0.529545455,4363.195909,14639.085,17.48818182,66.74909091,0.9,5.4,60.9,60.7,59.9,5.4
08/2021,1.065104545,0.093181818,19339.00455,8285491.409,48.96318182,0.503181818,4454.206364,14856.51727,17.47272727,65.19272727,0.490909091,5.395454545,59.89090909,64.01363636,55.4,5.2
09/2021,1.132786364,0.079090909,19753.43182,8414607.591,48.89563636,0.490909091,4449.629091,15038.99227,19.66954545,68.48090909,0.304545455,5.304545455,59.73636364,62.21818182,55,4.7
10/2021,1.196628571,0.07952381,19899,8502955.762,52.55990476,0.471428571,4460.707143,14879.0119,17.87142857,75.46,0.4,5.4,60.5,62.6,57.6,4.6
11/2021,1.045722727,0.079545455,19916.31364,8640273.045,52.06736364,0.445,4668.935455,15816.31,18.50409091,73.90136364,0.890909091,6.227272727,60.79090909,66.77727273,57.2,4.2
12/2021,0.795195652,0.079565217,20286.46087,8720991.957,52.74826087,0.532173913,4676.99087,15482.21174,21.20695652,71.13521739,0.695652174,6.808695652,60.52173913,68.13478261,57,3.9
01/2022,0.791728571,0.08,20438.17143,8812667.857,55.16109524,0.587142857,4578.055238,14548.63333,22.99095238,79.0152381,0.6,7.023809524,58.74285714,62.18571429,51.1,4
02/2022,0.4978,0.08,20589.385,8894213.3,65.61375,0.596,4431.625,13881.1955,25.8485,84.5475,0.61,7.52,57.65,59.73,55.9,3.8
03/2022,0.222134783,0.199565217,20662.94783,8933144.696,70.9803913,0.536086957,4391.265217,13623.26304,26.96869565,95.76695652,0.817391304,7.926086957,58.53478261,56.57826087,57.7,3.6
04/2022,0.224190476,0.33,20699.2,8948746.333,73.67242857,0.603809524,4391.357619,13392.11143,24.29380952,99.12095238,1.2,8.5,57.1,58.3,56,3.6
05/2022,0.285104545,0.761818182,20695.63636,8935872.409,84.86718182,0.675909091,4045.718182,11843.42955,29.31363636,101.7277273,0.331818182,8.313636364,55.43181818,57.04545455,53.6,3.6
06/2022,0.1302,1.205,20617.35455,8923975.273,93.14763636,0.689090909,3888.76,11390.71136,28.23318182,107.37,1.013636364,8.622727273,55.95909091,55.87272727,52.3,3.6
07/2022,-0.139580952,1.650952381,20545,8897396.476,90.24433333,0.651428571,3907.615238,11599.06952,24.9952381,96.05904762,1.3,9.1,53,55.3,47.7,3.6
08/2022,-0.3536,2.33,20540.99565,8864386.13,81.66552174,0.626521739,4158.563043,12570.26,22.16956522,95.28130435,0.004347826,8.491304348,52.8,56.70869565,44.6,3.7